Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Edge Chromium 86,,,2020-10-11 20:38:21,2020-10-11 20:38:23,1.523s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/p_Login failed Please ensure the username a_eb55b5""))",Edge Chromium 86,,,2020-10-11 20:38:23,2020-10-11 20:38:23,0.145s,PASSED
"verifyElementText(findTestObject(""Page_CURA Healthcare Service/p_Login failed Please ensure the username a_eb55b5""), ""Login failed! Please ensure the username and password are valid."")",Edge Chromium 86,,,2020-10-11 20:38:23,2020-10-11 20:38:23,0.107s,PASSED
"waitForElementPresent(findTestObject(""Page_CURA Healthcare Service/p_Login failed Please ensure the username a_eb55b5""), 30)",Edge Chromium 86,,,2020-10-11 20:38:23,2020-10-11 20:38:23,0.139s,PASSED
closeBrowser(),Edge Chromium 86,,,2020-10-11 20:38:23,2020-10-11 20:38:24,0.727s,PASSED
,,,,,,,
Test Cases/TC5,Edge Chromium 86,,,2020-10-11 20:38:24,2020-10-11 20:38:41,17.155s,PASSED
"openBrowser("""")",Edge Chromium 86,,,2020-10-11 20:38:24,2020-10-11 20:38:29,4.924s,PASSED
navigateToUrl(url),Edge Chromium 86,,,2020-10-11 20:38:29,2020-10-11 20:38:33,4.236s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Edge Chromium 86,,,2020-10-11 20:38:33,2020-10-11 20:38:38,5.188s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), pass)",Edge Chromium 86,,,2020-10-11 20:38:38,2020-10-11 20:38:39,0.303s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Edge Chromium 86,,,2020-10-11 20:38:39,2020-10-11 20:38:40,1.006s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/p_Login failed Please ensure the username a_eb55b5""))",Edge Chromium 86,,,2020-10-11 20:38:40,2020-10-11 20:38:40,0.131s,PASSED
"verifyElementText(findTestObject(""Page_CURA Healthcare Service/p_Login failed Please ensure the username a_eb55b5""), ""Login failed! Please ensure the username and password are valid."")",Edge Chromium 86,,,2020-10-11 20:38:40,2020-10-11 20:38:40,0.151s,PASSED
"waitForElementPresent(findTestObject(""Page_CURA Healthcare Service/p_Login failed Please ensure the username a_eb55b5""), 30)",Edge Chromium 86,,,2020-10-11 20:38:40,2020-10-11 20:38:40,0.155s,PASSED
closeBrowser(),Edge Chromium 86,,,2020-10-11 20:38:40,2020-10-11 20:38:41,0.735s,PASSED
